manage,year,NumberGeoTested,GeoAphYes,GeoAphNo,GeoCPBYes,GeoCPBNo,GeoThripYes,GeoThripNo,GeoScapYes,GeoScapNo,NumberNabTested,NabAphidYes,NabAphidNo,NabCPBYes,NabCPBNo,NabThripYes,NabThripNo,NabScapYes,NabScapNo,NabGeoYes,NabGeoNo,NabisAbundance,GeoAbundance,AphidAbundance,CPBAbundance,ThripAbundance,Scap_Abundance,Nitrate,Ammonium,OrgMatter,pH,Soilclass,Clay,Silt,Sand,NonPredAbund,NonPredRich,NonPredShan,NonPredSimp,PredAbund,PredRich,PredShan,PredSimp,TotAbund,TotRich,TotShan,TotSimp
Conventional,2009,59,2,57,1,58,38,21,14,45,28,2,26,0,28,10,18,15,13,2,26,2,8,18,0,58,1661,107,11,1.25,6.9,Sandy Loam,4.4,38.0,57.6,1853,21,0.5618,0.1938,89,7,1.2875,0.6413,1942,28,0.7811,0.2653
Conventional,2009,55,7,48,0,55,35,20,34,21,25,10,15,0,25,6,19,13,12,4,21,15,12,22,0,15,867,28,19,1.4,7.6,Silt Loam,6.4,52.0,41.6,1409,29,1.5633,0.5949,238,12,1.7512,0.7275,1647,41,2.0035,0.6979
Conventional,2009,52,0,52,0,52,48,4,12,40,5,0,5,0,5,5,0,2,3,2,3,2,2,1,0,0,2392,17,14,1.46,8.8,Silt Loam,4.4,50.0,45.6,2417,8,0.0735,0.0206,13,5,1.4181,0.7101,2430,13,0.1140,0.0310
Conventional,2009,51,4,47,0,51,38,13,3,48,25,5,20,3,22,10,15,12,13,2,23,0,7,8,0,9,4496,75,26,1.41,4.9,Silt Loam,9.4,49.0,41.6,4611,21,0.1789,0.0488,83,8,1.1032,0.4906,4694,29,0.2841,0.0820
Conventional,2009,25,1,24,0,25,14,11,13,12,61,2,59,0,61,33,28,52,9,8,53,6,8,4,0,19,2074,39,13,1.82,6.3,Sandy Loam,4.4,38.0,57.6,2232,23,0.4344,0.1352,119,7,1.4259,0.6555,2351,30,0.6849,0.2196
Conventional,2009,58,7,51,0,58,44,14,25,33,18,1,17,0,18,10,8,7,11,3,15,0,12,3,0,100,101,182,8,1.47,8,Silt Loam,9.4,49.0,41.6,273,18,1.7080,0.7206,22,5,1.1840,0.6157,295,23,1.9343,0.7586
Organic,2009,60,3,57,5,55,42,18,4,56,25,6,19,8,17,23,2,4,21,2,23,4,30,0,0,13,39,145,10,1.54,7.4,Silt Loam,8.4,52.0,39.6,308,21,2.2646,0.8447,106,8,1.4009,0.6730,414,29,2.6123,0.8926
Organic,2009,53,4,49,14,39,19,34,2,51,15,5,10,9,6,7,8,1,14,11,4,11,42,2,4,26,8,73,13,1.73,7.4,Silt Loam,8.4,48.0,43.6,206,16,2.3349,0.8841,78,6,1.3051,0.6456,284,22,2.6399,0.9123
Organic,2009,49,1,48,1,48,30,19,17,32,24,2,22,2,22,14,10,5,19,3,21,15,10,39,3,12,357,53,14,1.37,8,Silt Loam,6.4,54.0,39.6,680,25,1.9170,0.6995,264,11,1.9124,0.8067,944,36,2.5083,0.8289
Organic,2009,50,12,38,13,37,39,11,2,48,55,35,20,24,31,28,27,6,49,23,32,11,8,83,0,189,1564,49,12,1.28,8.2,Silt Loam,6.4,56.0,37.6,2487,27,1.5512,0.5851,204,9,1.5857,0.7370,2691,36,1.8223,0.6441
